id,start_time,lng,lat,is_urgent,engagement_time,frcs_demand
0,11,103.8382799,1.427651324,1,24,2
1,12,103.8023563,1.417622877,0,138,1
2,12,103.8112573,1.412325935,1,46,1
3,16,103.8471781,1.422354962,1,30,1
4,27,103.7968231,1.459314566,0,10,1
5,38,103.9004525,1.380191368,0,66,1
6,51,103.8766936,1.390837041,1,78,1
7,54,103.8583751,1.349411659,0,15,1
8,60,103.8884159,1.369913466,1,65,1
9,65,103.8764832,1.370034797,1,143,1
10,70,103.8586869,1.380619209,0,72,1
11,77,103.853001,1.422416832,0,39,1
12,82,103.9096663,1.406096048,0,67,1
13,83,103.7931343,1.391697859,1,72,1
14,93,103.8509907,1.453243601,0,45,1
15,99,103.8914513,1.375083114,0,13,1
16,101,103.834815,1.380863417,0,22,1
17,106,103.8556507,1.375448378,0,24,1
18,120,103.8199455,1.386218691,0,83,1
19,120,103.8825545,1.380374803,0,18,1
20,126,103.8583751,1.349411659,0,13,1
21,144,103.8852771,1.354343134,0,78,1
22,149,103.8347104,1.370459068,0,160,1
23,149,103.8532547,1.432694985,1,41,1
24,181,103.8884159,1.369913466,0,57,2
25,181,103.8495787,1.36510601,0,16,1
26,184,103.8407834,1.380802384,0,97,1
27,201,103.8116929,1.453950487,1,15,1
28,215,103.8382799,1.427651324,0,50,1
29,220,103.8173345,1.422669265,0,15,1
30,234,103.9096663,1.406096048,1,33,1
31,243,103.9125953,1.400865711,0,97,1
32,280,103.879624,1.385605809,0,18,1
33,287,103.8823457,1.359573463,0,19,1
34,316,103.843715,1.375570034,0,45,1
35,356,103.805723,1.454014675,1,22,1
36,378,103.8885208,1.380313671,0,27,1
37,392,103.8407834,1.380802384,1,99,1
38,415,103.9117753,1.420279091,0,188,1
39,430,103.8974171,1.375022193,0,168,1
40,460,103.8613075,1.344180659,0,60,1
41,460,103.805723,1.454014675,1,23,1
42,468,103.8606403,1.436494178,0,47,1
43,478,103.8915565,1.385483084,0,43,1
44,487,103.8297118,1.46416258,0,30,1
45,499,103.8795188,1.375204918,0,149,1
46,516,103.8707268,1.390898609,1,14,2
47,531,103.9182802,1.400789327,0,33,1
48,539,103.9004525,1.380191368,0,49,1
49,548,103.8382799,1.427651324,0,108,1
50,557,103.8563434,1.437815658,0,26,1
51,565,103.8555464,1.365045636,0,194,1
52,571,103.834815,1.380863417,0,25,1
53,581,103.8676904,1.385728485,0,72,1
54,602,103.8116929,1.453950487,0,13,1
55,620,103.8613075,1.344180659,1,81,1
56,628,103.8824497,1.369974138,0,34,2
57,632,103.83535,1.432885025,1,57,1
58,634,103.876588,1.380435923,1,172,2
59,654,103.8495787,1.36510601,0,61,1
60,689,103.8112573,1.412325935,1,38,1
61,691,103.8414279,1.443225525,0,107,1
62,698,103.8974171,1.375022193,1,31,2
63,698,103.8975224,1.385421702,0,64,1
64,704,103.8585822,1.370216701,0,60,1
65,709,103.8347104,1.370459068,0,95,1
66,716,103.9125953,1.400865711,1,12,1
67,720,103.8735522,1.375265801,0,27,1
68,726,103.8913468,1.364683135,1,31,1
69,726,103.9124888,1.390467368,0,48,1
70,728,103.8466468,1.37033791,1,18,1
71,730,103.8584782,1.359814185,0,53,1
72,730,103.8382799,1.427651324,1,27,1
73,738,103.8624465,1.433733921,1,52,1
74,738,103.834815,1.380863417,1,154,1
75,741,103.8974171,1.375022193,1,41,2
76,759,103.8497988,1.417252421,0,41,1
77,793,103.8473961,1.443161719,0,54,1
78,799,103.9004525,1.380191368,0,46,1
79,829,103.7968231,1.459314566,0,32,1
80,854,103.9065236,1.390529012,0,28,1
81,856,103.8545823,1.446972085,0,178,1
82,866,103.8559016,1.427612806,1,26,1
83,880,103.9003476,1.369792085,0,65,1
84,904,103.9117441,1.411119076,0,49,1
85,914,103.8585822,1.370216701,0,24,1
86,935,103.8733442,1.354463071,0,43,1
87,946,103.8407834,1.380802384,0,169,1
88,950,103.8795188,1.375204918,0,139,1
89,967,103.8526146,1.370277312,1,54,1
90,979,103.834815,1.380863417,0,49,1
91,979,103.8971061,1.343823613,1,97,1
92,987,103.8795188,1.375204918,1,21,1
